ReschMwToSave,ReschTimeToSave,cTaskToSave,ms,mwtoSave,opTaskToSave,timetoSave
[],[[4 5 6 7 8 9]],[[11 12 13 14 15 16 17 18 19 20]],6.074678648631723,"[[18.1813267  14.27778653 10.11566904 12.28380664 17.60395751 17.053087
   9.46142065 15.2787138  16.76502508 11.67559249]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.4334346  0.57819188 0.29720233 1.08685957 0.52638605 0.51380696
  0.36415071 1.0996067  0.73127903 0.44376082]]"
[],[[ 2 10]],[[ 8 11 12 13 15 16 17 18 19 20]],5.910000000000001,"[[11.43879376 11.62128525  9.7068374  15.84507558  9.50963626 15.0115966
  13.16177658  0.         11.71039367 15.39043268  0.          0.
   0.         12.36092705]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.43301528 0.61055525 0.29186417 0.97092976 0.47736056 0.47266113
  0.3571947  0.         0.63679142 0.46048098 0.         0.
  0.         0.86204529]]"
[],[[ 1  2  3  4  5  6  9 10]],[[11 12 13 14 15 16 17 18 19 20]],6.08569965971174,"[[15.72061148 12.36704449 14.28863427 17.40352889  9.93740183 14.00365507
  13.38680052 17.68705632 15.18727217 18.40529035]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.43795902 0.65596028 0.29704281 1.07085968 0.50830713 0.53096781
  0.34685373 1.05175344 0.67219235 0.51380341]]"
[],[[ 1  2  3  7 14]],[[ 8 11 12 13 15 16 17 18 19 20]],6.017941936188091,"[[10.28554912 17.47289183  9.47532664 14.10514532 15.62758835 14.59961854
  13.80354286  0.         12.36307714 14.92640776  0.          0.
   0.         17.76795301]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.49815004 0.70680809 0.32236891 0.98630558 0.44738802 0.50430771
  0.36354354 0.         0.65570174 0.48495178 0.         0.
  0.         1.04841652]]"
[],[[1 2 9]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[17.63249553 12.24024013  9.99678645 11.44157684 10.19543639 18.10760546
   9.58930043 10.48577611  9.55317871 11.41199324]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.51031473 0.7244918  0.29156159 0.97775723 0.43876604 0.49315773
  0.34069809 0.88685425 0.69629499 0.4748814 ]]"
[],[[ 3  5 10]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[12.25003332 16.22933336 17.09486541 11.83337911 14.12985112 13.51458004
  12.55184565 17.09297326 18.40033161 15.15335625]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.42642844 0.67377523 0.32638327 0.91138554 0.44921842 0.43635882
  0.3140054  0.85194823 0.66715024 0.48485684]]"
[],[[1 3 4 5 6 8]],[[11 12 13 15 16 17 18 19 20]],5.574129850658688,"[[12.05304831 10.14579723 17.65321929 17.16104624 13.04877007 10.98324322
  13.3657251  13.23590941 16.08632297 13.14703995]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.4476594  0.58719886 0.33163089 0.93213395 0.4585233  0.49377989
  0.29834657 1.01962297 0.57597688 0.42925715]]"
[],[[ 1  2  3  6  9 10]],[[11 12 13 15 16 17 18 19 20]],5.534457340604547,"[[16.02024188 14.52609002 13.42991587 20.26447889 17.62297249 15.81993739
  18.11945153 19.13752212 15.46793704 18.34127091]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.54036149 0.70989817 0.36015256 0.83840048 0.40804884 0.52734015
  0.26131131 0.75235062 0.60550118 0.53109255]]"
[],[[2 5 7 8 9]],[[11 12 13 15 16 17 18 19 20]],5.512198760419504,"[[20.18558019 14.02267314 16.04576635 15.29980799 18.35119167 19.92550299
  16.72536773 19.24658808 15.41151127 17.19903316]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.39076314 0.72235974 0.3282115  0.76676264 0.43855543 0.47659871
  0.35729322 0.91173239 0.6337582  0.48616378]]"
[],[[1 4]],[[11 12 13 15 16 17 18 19 20]],5.301443531551902,"[[20.29490968 14.8967117  17.357964   15.67642436 13.01470903 16.80335354
  19.41611926 14.87185936 13.16708005 14.77177283]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.42775687 0.70585636 0.32345033 1.03135878 0.37201777 0.40584547
  0.33565125 0.78642264 0.47577369 0.43731038]]"
[],[[ 1  5  6  8  9 10]],[[11 12 13 15 16 17 18 19 20]],5.277121714304834,"[[20.67212595 20.66736698 19.97044874 19.72562568 19.20768778 17.23983081
  16.15097718 13.81698005 18.03696594 19.7117193 ]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.48214643 0.55453698 0.32123404 0.70520165 0.49361357 0.42822376
  0.23777692 0.86240616 0.65771492 0.53426728]]"
[],[[2 4 7 9]],[[11 12 13 15 16 17 18 19 20]],5.29032818468297,"[[18.70886813 12.90204535 17.64282551 17.41161057 19.25903057 18.03974449
  19.82582716 20.0189834  14.01786285 14.34064069]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.40491969 0.69074492 0.24274309 0.85151683 0.40363389 0.38058424
  0.31743486 0.82654993 0.72246595 0.4497348 ]]"
[],[[ 1  3  5  7  8 10]],[[ 9 11 12 13 15 16 17 18 19 20]],5.57390811846558,"[[13.36763668 17.80642665 12.99745176 13.29633994 13.83689586 16.40491258
  18.17868675 19.64888667  0.         16.78756339  0.          0.
   0.         13.19027603]]",[[ 1  2  3  4  5  6  7  8 10 14]],"[[0.50819513 0.48287884 0.28528176 0.81998634 0.49683598 0.37084185
  0.33897616 1.01309158 0.         0.45647954 0.         0.
  0.         0.80134094]]"
[],[[ 2  3  6 14]],[[ 9 11 12 13 15 16 17 18 19 20]],5.67571152786407,"[[19.15204993 15.54566576 16.50085389 15.74258934 18.23656496 17.34223225
  18.01421477 16.72890999  0.         15.98766588  0.          0.
   0.         16.61987367]]",[[ 1  2  3  4  5  6  7  8 10 14]],"[[0.41276647 0.6378002  0.33815107 0.8156602  0.4495736  0.51368692
  0.3126525  0.91456984 0.         0.41617463 0.         0.
  0.         0.86467609]]"
[],[[ 4  5  8 10 14]],[[ 9 11 12 13 15 16 17 18 19 20]],5.732790366342611,"[[13.42361288 15.01803087 15.55553964 14.24532986 13.00701084 18.25653541
  16.86798548 13.62860305  0.         13.62820952  0.          0.
   0.         16.74701495]]",[[ 1  2  3  4  5  6  7  8 10 14]],"[[0.33665283 0.52926644 0.32969442 0.92325236 0.45257813 0.45898886
  0.30490393 0.94514461 0.         0.45977745 0.         0.
  0.         0.99253133]]"
[],[[1 5 6]],[[ 9 11 12 13 15 16 17 18 19 20]],5.56,"[[17.52181311 14.44616914 12.95041815 13.32252011 17.26815584 16.78385471
  17.18707799 16.29396681  0.         17.42232658  0.          0.
   0.         12.99612648]]",[[ 1  2  3  4  5  6  7  8 10 14]],"[[0.39167387 0.45118523 0.26457158 0.70004669 0.46481102 0.48779343
  0.21719555 0.8775142  0.         0.44374318 0.         0.
  0.         0.73876799]]"
[],[[ 1  2  3  4  7 10]],[[11 12 13 15 16 17 18 19 20]],5.035750598044581,"[[17.446813   14.69321921 16.55825268 13.09325139 16.91213077 15.59709796
  18.08247965 14.42272553  0.         14.90873839  0.          0.
   0.         13.43703003]]",[[ 1  2  3  4  5  6  7  8 10 14]],"[[0.39595812 0.49161396 0.27274402 0.95829369 0.37411984 0.42984994
  0.21970441 0.70431953 0.         0.4709344  0.         0.
  0.         0.71821268]]"
