ReschMwToSave,ReschTimeToSave,cTaskToSave,ms,mwtoSave,opTaskToSave,timetoSave
[],[[2 4 5 6 7 9]],[[11 12 13 14 15 16 17 18 19 20]],6.069036750073923,"[[33.88368359 28.69526104 23.12806379 30.24660313 24.57823865 29.75661137
  27.09970116 26.49434391 32.69019169 29.51722379]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.47528537 0.70233426 0.30329379 1.03705771 0.51202781 0.52466846
  0.36511386 0.9767827  0.63472582 0.53774695]]"
[],[[1 3 5 9]],[[11 12 13 14 15 16 17 18 19 20]],5.963504351258057,"[[31.00814962 26.51371086 22.92541172 34.55323555 23.93368468 27.33210632
  31.12076715 36.76318061 29.54085576 36.65728868]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.52906449 0.62729704 0.34517255 0.91049711 0.53011724 0.51785686
  0.36303096 0.91831163 0.72116117 0.5009953 ]]"
[],[[ 3  5  7 10]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[38.01016604 32.73980844 27.3043305  38.29318168 36.6126527  26.87598763
  27.68238112 42.56198249 34.18469401 25.98730795]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.40663362 0.59936503 0.34939317 0.73232038 0.5369154  0.45510011
  0.36851605 0.88980264 0.57305126 0.59651277]]"
[],[[3 4 6 8]],[[11 12 13 15 16 17 18 19 20]],5.529628641908666,"[[35.86767535 33.82318954 31.96441474 36.92895964 41.81210301 36.32094721
  30.48747678 29.14553203 33.18823693 26.0708838 ]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.36345789 0.51365028 0.38220749 0.93291004 0.49021418 0.47361409
  0.24460645 1.14882327 0.56288325 0.4172617 ]]"
[],[[ 1  2  4  6  7  9 10]],[[11 12 13 15 16 17 18 19 20]],5.883716968422707,"[[32.01742183 26.95179209 33.4857405  26.42674087 38.35708082 26.25666653
  42.08934192  0.         38.42819394 41.79912852  0.          0.
   0.         34.47092968]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.56904608 0.67006425 0.26723867 0.95995841 0.36345608 0.56554686
  0.30712506 0.         0.64936885 0.49171521 0.         0.
  0.         1.0401975 ]]"
[],[[ 3  4  5  9 14]],[[ 8 11 12 13 15 16 17 18 19 20]],5.937803367171737,"[[30.11312423 27.23827674 33.39264909 36.66048754 27.88163076 33.42477159
  36.87000907  0.         39.89053117 30.92356898  0.          0.
   0.         32.55284265]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.4102262  0.55334943 0.35979304 1.19667138 0.43917644 0.53821446
  0.25164958 0.         0.66571503 0.4576488  0.         0.
  0.         1.06535901]]"
[],[[ 1  2 10]],[[ 8 11 12 13 15 16 17 18 19 20]],5.910000000000001,"[[30.62606651 29.79068182 41.78589278 40.46408736 32.46410434 33.88436212
  35.36313249  0.         34.06062305 30.26234501  0.          0.
   0.         42.70270965]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.57105783 0.70022818 0.27361802 1.07991591 0.42273143 0.41935968
  0.23432787 0.         0.59159996 0.4592332  0.         0.
  0.         0.85214923]]"
[],[[ 2  5  6  7  9 10]],[[11 12 13 15 16 17 18 19 20]],5.659993158473666,"[[35.59772951 41.41943563 41.07590797 33.93771435 33.25054682 30.98712557
  26.55582198  0.         38.62552184 27.88005245  0.          0.
   0.         31.75033422]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.39591892 0.75392327 0.23874822 0.86597901 0.53718675 0.51109161
  0.26151351 0.         0.78410757 0.48581756 0.         0.
  0.         0.82570674]]"
[],[[ 1  2  4  7 10]],[[ 9 11 12 13 15 16 17 18 19 20]],5.56,"[[29.33725283 42.47106042 35.85111449 30.86009383 42.32190582 41.08235867
  28.88364024  0.          0.         25.63109232  0.          0.
   0.         37.89927783]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.44896774 0.7618785  0.23684957 1.12204036 0.42201766 0.41258572
  0.31469847 0.         0.         0.53225903 0.         0.
  0.         0.80130805]]"
[],[[ 1  3  5  6 14]],[[ 9 11 12 13 15 16 17 18 19 20]],5.56,"[[40.69470997 27.5574171  31.72695822 29.78066843 35.28255959 36.18792442
  30.79798109  0.          0.         39.39188882  0.          0.
   0.         39.34868731]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.5669317  0.50612794 0.23981318 0.99909726 0.50107838 0.4791081
  0.23456111 0.         0.         0.52223334 0.         0.
  0.         1.17301019]]"
