ReschMwToSave,ReschTimeToSave,cTaskToSave,ms,mwtoSave,opTaskToSave,timetoSave
[],[[1 2 3 4 8 9]],[[11 12 13 14 15 16 17 18 19 20]],6.116100517367403,"[[25.16866135 29.80386891 26.11385239 22.7882983  23.03796001 22.7878256
  27.92364015 23.61565599 28.42296955 35.28005364]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.53178868 0.69455592 0.34951308 1.07994196 0.45652398 0.48359112
  0.30025898 1.06561912 0.66769143 0.48661624]]"
[],[[ 5  7 10]],[[ 8 11 12 13 15 16 17 18 19 20]],5.910000000000001,"[[31.8104697  32.27666098 30.35321247 31.21554786 34.96156943 31.72177016
  34.92622072  0.         28.79145596 23.88569387  0.          0.
   0.         22.78474224]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.4853639  0.61605455 0.33790694 1.07500655 0.4848575  0.4541921
  0.30945837 0.         0.61024289 0.52405266 0.         0.
  0.         0.99130503]]"
[],[[ 1  2  3  5  6  7  9 14]],[[ 8 11 12 13 15 16 17 18 19 20]],6.148030094301085,"[[27.61479651 23.52186329 25.37597025 32.06102376 34.38237437 36.35097528
  24.99615098  0.         33.19556393 30.54490686  0.          0.
   0.         27.82039173]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.52142424 0.64109686 0.34470979 1.03048417 0.50310488 0.5215107
  0.33362068 0.         0.66509983 0.49978383 0.         0.
  0.         1.08719511]]"
[],[[2 4 7 9]],[[11 12 13 14 15 16 17 18 19 20]],6.002703536529248,"[[23.40479259 35.3735814  34.9403191  36.79688017 34.75839048 22.31463794
  29.95202393 36.76414738 29.44556264 34.89762313]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.50100403 0.6661192  0.34339021 1.04874123 0.48019535 0.45896119
  0.35502886 0.9779174  0.70340915 0.46793691]]"
[],[[ 2  3  5  6 10]],[[11 12 13 14 15 16 17 18 19 20]],5.982911730605832,"[[29.97905391 28.88725852 29.22792127 26.40692506 36.06059688 36.52917894
  29.48398908 36.68855087 28.61588928 28.16765485]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.45702215 0.73170842 0.36147808 1.01285218 0.49314621 0.48378446
  0.34801342 0.90273111 0.64990719 0.54226852]]"
[],[[1 4 5 6 8]],[[11 12 13 14 15 16 17 18 19 20]],6.015546213942386,"[[23.90715891 22.54544186 32.03695105 30.91273456 25.06362526 27.87045033
  31.23381549 30.11182668 23.67878909 24.30474291]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.47132148 0.62579789 0.3554814  1.04532742 0.50297457 0.53290807
  0.33409155 1.01039237 0.62846941 0.50878206]]"
[],[[2 5 8 9]],[[11 12 13 14 15 16 17 18 19 20]],5.920484287725109,"[[29.18798293 34.73534081 25.41285754 34.30742326 33.99641153 31.21975549
  21.79366251 27.47104805 35.36226168 31.99248904]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.45009994 0.65578778 0.33253246 0.93197377 0.51668386 0.45179204
  0.30794756 1.09042506 0.73015037 0.45309145]]"
[],[[ 1  2  4  5  6  7 10 14]],[[ 8 11 12 13 15 16 17 18 19 20]],6.178878295640924,"[[23.02315389 25.52460053 33.96265309 23.02972348 29.75005961 33.80136961
  32.87190156  0.         23.89061122 28.34592964  0.          0.
   0.         27.0297208 ]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.48788231 0.68429484 0.31618635 1.01428261 0.54817288 0.5349682
  0.31886439 0.         0.6910289  0.48581245 0.         0.
  0.         1.09738535]]"
[],[[ 1  4  7  9 10]],[[11 12 13 14 15 16 17 18 19 20]],6.194307376421829,"[[28.77193805 25.67518416 30.32179329 25.50151077 26.56229594 35.45846557
  35.07370942 33.71062494 35.6841795  24.44975286]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.49784975 0.67835437 0.30968941 1.08106612 0.51401942 0.46629396
  0.3376936  1.08632323 0.70444881 0.51856871]]"
[],[[ 1  2  3  6  7 10]],[[11 12 13 14 15 16 17 18 19 20]],6.120087237173336,"[[22.56611114 29.68645529 23.54755328 27.47735057 33.9850013  25.43120257
  35.06171679 32.47820779 27.44735251 25.50375095]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.50175411 0.68363489 0.36084274 1.03279365 0.48891928 0.52400076
  0.35447354 1.02006896 0.61136351 0.5422358 ]]"
