ReschMwToSave,ReschTimeToSave,cTaskToSave,ms,mwtoSave,opTaskToSave,timetoSave
[[5]],[[ 1  2  3  4  5  9 10]],[[11 12 13 14 15 16 17 18 19 20]],7.392666713861709,"[[19.96762779 19.11139392 21.30477273 22.07510455 31.03178721 15.54148249
  18.44928086 23.63076368 21.71251367 16.76881769]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.65812833 0.93183786 0.408251   1.25197642 0.6830758  0.62191314
  0.39468618 1.09042376 0.81156707 0.54080716]]"
[[3 8]],[[8]],[[ 9 11 12 13 14 15 16 17 18 19 20]],6.660000000000001,"[[23.92195833 21.09742507 29.94159348 25.53839408 18.78534165 18.63809855
  16.58179825 31.9556192   0.         17.56042178]]",[[ 1  2  3  4  5  6  7  8 10]],"[[0.59489837 0.89282054 0.31012735 1.12043823 0.4710645  0.5908094
  0.38984611 1.28402895 0.         0.50827257]]"
[],[[3 5]],[[ 8 11 12 13 15 16 17 18 19 20]],5.910000000000001,"[[22.39507702 17.78604581 15.12522147 19.1806773  25.79239126 28.31010585
  26.47464346  0.         14.49084158 18.40076465]]",[[ 1  2  3  4  5  6  7  9 10]],"[[0.38960152 0.58712837 0.35690249 1.05295001 0.52522304 0.35155645
  0.29569469 0.         0.76720356 0.42958621]]"
[],[[ 1  3  5  6 10]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[24.43232784 24.24903187 15.25484922 20.06515059 21.03532336 21.36955048
  26.43964247 23.63696363 25.60990919 21.38114019]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.40903229 0.57263043 0.39736833 0.97412545 0.53731281 0.56046293
  0.26112217 1.1515488  0.50173313 0.53627327]]"
[],[[ 1  7  9 10]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[15.25427705 14.77707996 27.97040031 15.55469079 15.54908645 15.59550986
  14.57936881 20.19813825 23.50099367 26.0020459 ]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.58897396 0.48891676 0.32355398 0.84083017 0.47022508 0.52121595
  0.26801626 1.00408049 0.57542083 0.5702118 ]]"
[],[[2 4 5 7 8]],[[11 12 13 15 16 17 18 19 20]],6.017270176115934,"[[20.35637074 22.73855674 22.67607276 15.08840808 15.10642034 17.58066847
  24.53028523 19.53414479 25.96632115 27.60075739]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.54755878 0.70427218 0.31206837 1.05429408 0.58951487 0.47644389
  0.2841471  1.09490559 0.54548959 0.40857571]]"
[],[[ 3  4  8  9 10]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[16.60427934 14.67755303 14.12654741 25.82043667 25.08076589 16.21371426
  26.98481958 23.73822225 23.31543581 28.4518705 ]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.44976666 0.48409466 0.32849816 1.07383499 0.43006089 0.47323358
  0.27024843 1.16963687 0.62746647 0.48499902]]"
[],[[2 6 9]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[22.71104995 16.49217465 23.1431434  19.06189129 14.79717774 19.01367739
  17.24805644 16.91579843 22.79303038 21.25308754]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.35842295 0.60811483 0.31496578 0.99175224 0.37081744 0.51503866
  0.24202667 0.97841527 0.70404362 0.47197766]]"
[],[[1 3 4 5 7 8 9]],[[11 12 13 15 16 17 18 19 20]],6.184404712946499,"[[15.70470245 25.46997186 14.95278457 15.6458942  18.67975299 26.25548189
  22.17483043 22.22713604 27.45790503 22.05620532]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.45330944 0.53929098 0.37638796 1.13050413 0.42098475 0.50384821
  0.36321193 1.17742366 0.77323974 0.44620393]]"
[],[[2]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[17.18007314 16.24781489 22.52767319 25.88503614 25.68347043 25.55445005
  24.104946   26.43441896 25.22870158 16.33847151]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.35249435 0.73649592 0.33476791 0.93995684 0.41711004 0.4145241
  0.31347024 0.81367074 0.48289158 0.39231045]]"
