ReschMwToSave,ReschTimeToSave,cTaskToSave,ms,mwtoSave,opTaskToSave,timetoSave
[[9]],[[ 1  2  4  5  8  9 10]],[[11 12 13 14 15 16 17 18 19 20]],7.213439308755766,"[[28.81810367 15.10870997 16.43839685 12.19215451 24.39715204 28.09911344
  22.24340996 11.61050195 32.78847619 22.02067832]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.64527307 0.71706866 0.30901865 1.25435231 0.69823211 0.49061912
  0.31889583 1.35643771 0.76059035 0.66295149]]"
[[7]],[[ 3  7 14]],[[ 9 11 12 13 15 16 17 18 19 20]],6.079639198118963,"[[18.43313429 17.05432284 11.13224141 28.64206331 21.94298226 22.83254251
  30.16007554  0.          0.         26.90255851  0.          0.
   0.         25.6978905 ]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.53299937 0.65799394 0.40423231 1.18756742 0.63774635 0.4883797
  0.35942859 0.         0.         0.4859877  0.         0.
  0.         1.32530383]]"
[[4]],[[ 2  3  4  5  6  9 10]],[[ 7  8 11 12 13 15 16 17 18 19 20]],6.600591554449117,"[[20.92472341 11.30348025 21.42163648 31.926336   16.47695013 19.50130161
   0.          0.         20.49153428 29.27950266  0.          0.
   0.         29.14223003]]",[[ 1  2  3  4  5  6  9 10 14]],"[[0.49470695 0.78353763 0.45993318 1.19801084 0.65214268 0.69613309
  0.         0.         0.89535291 0.50345925 0.         0.
  0.         0.91731503]]"
[[4]],[[ 1  4  7 10 14]],[[ 8 11 12 13 15 16 17 18 19 20]],6.494999123525048,"[[29.68237157 19.58947825 27.24428325 32.48164826 22.51257928 20.45813664
  15.55747782  0.          0.         18.11483035  0.          0.
   0.         13.4391448 ]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.56324965 0.72688973 0.45426599 1.27042181 0.63440827 0.686729
  0.38497812 0.         0.         0.6479698  0.         0.
  0.         1.12608675]]"
[[ 3  6 10]],[[4 7]],[[11 12 13 14 15 16 17 18 19 20]],6.816875176213217,"[[18.36162649 23.64156439 30.0066281  15.36838759 25.7939212  30.84029016
  15.381458   17.5622513  21.92344595 30.5778931 ]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.54380251 0.71000349 0.35698183 1.30855943 0.58292133 0.58028051
  0.42900871 0.96013139 0.80852381 0.53666217]]"
[],[[ 1  3  8 10]],[[ 9 11 12 13 15 16 17 18 19 20]],5.96646678876319,"[[12.42849377 18.88875913 16.15352734 15.47708916 28.90315083 19.65556106
  12.17865376 19.25113472  0.         28.0498719 ]]",[[ 1  2  3  4  5  6  7  8 10]],"[[0.57535365 0.69236636 0.38895413 1.18712478 0.5532011  0.45369092
  0.41708575 1.15337358 0.         0.54531652]]"
[[6]],[[ 2  6 10]],[[ 9 11 12 13 15 16 17 18 19 20]],5.934605058573914,"[[17.30180906 26.11684052 14.10529612 22.26590631 26.8691924  31.43459298
  27.1062847   0.          0.         27.49665646  0.          0.
   0.         19.96103127]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.49132441 0.90411817 0.35316564 1.06488983 0.50105892 0.64180368
  0.31163103 0.         0.         0.68750849 0.         0.
  0.         0.97910489]]"
[[ 2 14]],[[ 1  4  5  6  7 14]],[[ 9 11 12 13 15 16 17 18 19 20]],6.265302164944182,"[[26.12674345 32.71074891 27.93854527 29.25077863 26.53386484 24.09740121
  27.56323064  0.          0.         21.92788848  0.          0.
   0.         30.03291839]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.50987292 0.77365551 0.33647924 1.32119395 0.61573323 0.65405882
  0.4322697  0.         0.         0.5672763  0.         0.
  0.         1.05476249]]"
[[4 5]],[[ 2  8 10]],[[11 12 13 14 15 16 17 18 19 20]],6.180556025835287,"[[23.46565281 28.84902149 23.68906893 31.76864226 30.17194728 22.16724857
  28.35410963 21.4066741   0.         29.23363737]]",[[ 1  2  3  4  5  6  7  8 10]],"[[0.46700692 0.92289479 0.31642774 1.17348854 0.55074248 0.47676004
  0.42065229 1.20684117 0.         0.64574205]]"
[[4]],[[ 1  2  3  5  6  7 14]],[[ 8 11 12 13 15 16 17 18 19 20]],6.321869521282632,"[[22.84150733 21.19248734 29.05650552 31.94194314 12.67800357 26.59076341
  16.16838176  0.          0.         19.77570227  0.          0.
   0.         16.89873739]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.5306204  0.92542845 0.34633387 0.9364154  0.6378059  0.65779716
  0.45367764 0.         0.         0.53175607 0.         0.
  0.         1.30203463]]"
