ReschMwToSave,ReschTimeToSave,cTaskToSave,ms,mwtoSave,opTaskToSave,timetoSave
[],[[ 1  2  5  6  7  8  9 10]],[[11 12 13 14 15 16 17 18 19 20]],6.949706050122439,"[[17.33549346 26.2357037  23.24673637 19.72345744 12.35499468 28.16386169
  18.42684501 24.37304996 27.30758909 13.30589132]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.52349326 0.84881358 0.3016926  0.92422367 0.61697903 0.600867
  0.38764498 1.26485472 0.83579295 0.64534426]]"
[[2]],[[3 4 5 6]],[[ 8 11 12 13 15 16 17 18 19 20]],5.995597464212111,"[[28.56371901 31.74617907 26.04174259 13.90582503 26.89993987 13.42777657
  13.58484275  0.          0.         25.09579431  0.          0.
   0.         18.23391272]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.48197209 0.78321919 0.38083348 1.34523784 0.64974007 0.63358527
  0.30852446 0.         0.         0.46822132 0.         0.
  0.         0.94426373]]"
[],[[ 1  2  3  6  7  8 10]],[[11 12 13 14 15 16 17 18 19 20]],7.238396983817773,"[[19.1223737  26.0706264  24.15471598 28.36600676 19.08836421 15.53261291
  12.90666404 27.98254618 15.52483947 19.54197588]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.61345301 0.84975297 0.3971579  1.27001616 0.50870673 0.63373939
  0.46172024 1.33346515 0.62877628 0.54160915]]"
[[14]],[[ 3  6  9 14]],[[ 7  8 11 12 13 15 16 17 18 19 20]],6.3433,"[[22.67918965 13.01297209 19.91693924 13.30661744 13.47024717 28.2574136
   0.          0.         17.41454699 24.27773565  0.          0.
   0.         32.21729868]]",[[ 1  2  3  4  5  6  9 10 14]],"[[0.58794463 0.67635157 0.4069494  1.14224019 0.48796138 0.64548299
  0.         0.         0.63356712 0.52351658 0.         0.
  0.         1.01868651]]"
[],[[ 2  5 10]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[21.72728306 27.91708181 19.71214839 17.00465347 11.81916195 25.81248811
  20.4504181  20.93826317 24.41685772 12.30687253]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.4797455  0.74460477 0.38491469 0.9595854  0.54664941 0.38292652
  0.42004329 0.81247648 0.57316686 0.58934908]]"
[],[[2 9]],[[ 7 11 12 13 15 16 17 18 19 20]],5.2433000000000005,"[[26.90429554 22.68660446 13.39399464 24.89886022 13.78299704 13.95467269
   0.         13.16907004 14.12459947 14.70152857]]",[[ 1  2  3  4  5  6  8  9 10]],"[[0.44474343 0.77579431 0.37258267 0.77519931 0.38904544 0.3777057
  0.         0.70469218 0.63594222 0.54667195]]"
[[ 3 10]],[[4 5 6 8 9]],[[ 7 11 12 13 15 16 17 18 19 20]],5.389139995533524,"[[15.66467854 12.70162978 31.10360904 26.54773479 23.27135727 17.89543778
   0.         14.65647838 24.6949397  32.73456417]]",[[ 1  2  3  4  5  6  8  9 10]],"[[0.40887468 0.59368826 0.29658947 0.83053799 0.42531255 0.61787672
  0.         1.12193393 0.68899629 0.4053301 ]]"
[[4]],[[ 3  5  7 10]],[[ 8 11 12 13 15 16 17 18 19 20]],5.910000000000001,"[[19.3895945  14.54494738 27.67847349 30.16444468 18.71708839 26.08178559
  17.47126994  0.         22.67384468 29.3133145   0.          0.
   0.         24.14478422]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.40112961 0.56981206 0.31266193 0.74439686 0.55522882 0.4707165
  0.42985738 0.         0.62757164 0.53620158 0.         0.
  0.         0.79262188]]"
[[5 6]],[[ 1  2  3  4  6  9 14]],[[11 12 13 15 16 17 18 19 20]],6.3078206073178835,"[[11.53754835 17.38407583 17.98545282 25.38118295 32.05259033 31.5860792
  21.07349934  0.         16.29052473 27.80575477  0.          0.
   0.         27.70520243]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.51706227 0.67982733 0.36030964 1.06905826 0.52192126 0.56166384
  0.39896615 0.         0.7131916  0.53587116 0.         0.
  0.         0.9499491 ]]"
[[3 7]],[[ 1  2  4  5 10 14]],[[ 8 11 12 13 15 16 17 18 19 20]],5.910000000000001,"[[14.59853802 25.65171876 30.67656626 22.36428058 26.45945075 14.37898829
  31.97605554  0.          0.         22.89944979  0.          0.
   0.         25.95414576]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.59812961 0.79835681 0.31409131 1.17262417 0.54265212 0.49243264
  0.31310452 0.         0.         0.61471489 0.         0.
  0.         0.97000389]]"
