ReschMwToSave,ReschTimeToSave,cTaskToSave,ms,mwtoSave,opTaskToSave,timetoSave
[[ 4  6 10]],[[3]],[[ 7  8 11 12 13 15 16 17 18 19 20]],6.3433,"[[18.58098458 19.89480663 15.76142963 31.65669078 26.90511805 31.81399887
   0.          0.         18.27781769 31.6113117   0.          0.
   0.         29.38597878]]",[[ 1  2  3  4  5  6  9 10 14]],"[[0.30914075 0.6697681  0.32473733 0.66009351 0.43126129 0.38145841
  0.         0.         0.58217892 0.39972019 0.         0.
  0.         0.80754669]]"
[[ 3  5  7 14]],[[ 1  4  7  9 10 14]],[[11 12 13 15 16 17 18 19 20]],5.234607337927448,"[[22.77524997 22.27741265 29.76406581 20.9867304  29.7359     29.28769386
  30.39984447  0.         24.29920447 26.58764044  0.          0.
   0.         32.13574171]]",[[ 1  2  3  4  5  6  7  9 10 14]],"[[0.44434855 0.54670587 0.24291133 0.9759732  0.35716737 0.31604677
  0.32785546 0.         0.62376525 0.47880313 0.         0.
  0.         0.92103041]]"
[[8]],[[3 5 6]],[[ 7 11 14 15 16 17 18 19 20]],5.5833,"[[17.902494   15.84237575 22.81157567 18.64016509 28.17364471 21.91838328
   0.         30.21145754 28.32244257 25.45005536  0.          0.
  18.51264901]]",[[ 1  2  3  4  5  6  8  9 10 13]],"[[0.41099104 0.42002727 0.34442387 0.91559437 0.38876841 0.54925082
  0.         0.71208575 0.61751457 0.45124766 0.         0.
  0.26451445]]"
[[5 9]],[[ 1  2  3  5 13]],[[ 8 11 12 15 16 17 18 19 20]],5.64,"[[27.02685611 22.15608738 26.44129844 15.78103674 31.4260318  29.48983235
  28.52691572  0.         29.71078552 22.14619121  0.          0.
  26.26411449 25.52870953]]",[[ 1  2  3  4  5  6  7  9 10 13 14]],"[[0.53934601 0.4884651  0.35406141 0.7118852  0.39339095 0.32187509
  0.30665542 0.         0.46022864 0.31126278 0.         0.
  0.32049686 0.77371882]]"
[[1 3]],[[ 2  4  6  7 10 14]],[[ 9 11 12 15 16 17 18 19 20]],5.478264866745908,"[[30.60895041 14.37825415 29.73341117 13.51992459 25.2355596  26.99376205
  22.60082119 28.78232634  0.         29.02248622  0.          0.
  24.21650222 15.62649427]]",[[ 1  2  3  4  5  6  7  8 10 13 14]],"[[0.43251293 0.4917145  0.24141402 0.82581939 0.35692821 0.5011124
  0.36431427 0.61499598 0.         0.43391605 0.         0.
  0.21449142 1.00104572]]"
[[1]],[[ 5  6  8  9 10 13]],[[11 12 15 16 17 18 19 20]],5.306288463160986,"[[30.59411982 26.69623242 19.12590705 24.85792074 17.49730905 18.40092761
  25.17113933 22.49010422 20.44404584 23.80643264  0.          0.
  26.40915298]]",[[ 1  2  3  4  5  6  7  8  9 10 13]],"[[0.3544504  0.46073673 0.20694928 0.65347083 0.45411087 0.53491525
  0.25905005 0.80531455 0.72815288 0.5363948  0.         0.
  0.31274284]]"
[],[[ 1  2  3  4  7 10]],[[11 12 13 15 16 17 18 19 20]],5.442821700351268,"[[28.80317197 21.20262962 20.47632029 17.0320844  15.41152074 18.63689685
  25.979438   26.97854848  0.         25.41066202  0.          0.
   0.         13.37251964]]",[[ 1  2  3  4  5  6  7  8 10 14]],"[[0.44588329 0.58396003 0.29723204 0.85590996 0.32064818 0.47989253
  0.36598942 0.77726715 0.         0.5428147  0.         0.
  0.         0.77322438]]"
[],[[ 1  2  3  5 14]],[[ 9 11 12 13 15 16 17 18 19 20]],5.56,"[[21.60386268 24.17740886 17.36143081 16.31737808 27.80172359 26.69782136
  29.64681761 15.09884473  0.         16.4072041   0.          0.
   0.         14.94407697]]",[[ 1  2  3  4  5  6  7  8 10 14]],"[[0.51080333 0.70747937 0.32845952 0.62132993 0.39454653 0.47608491
  0.32155335 0.71213854 0.         0.36726368 0.         0.
  0.         0.93651558]]"
[[14]],[[3 4 7 8]],[[11 12 13 15 16 17 18 19 20]],4.834979409545349,"[[16.89856321 22.17868435 29.15201209 24.26906132 14.98699644 20.07904365
  14.16125243 22.02257927  0.         20.79829263  0.          0.
   0.         30.75706215]]",[[ 1  2  3  4  5  6  7  8 10 14]],"[[0.42244095 0.46443833 0.34928033 0.64954482 0.31104139 0.43932379
  0.3287163  0.75597003 0.         0.34474562 0.         0.
  0.         0.76947784]]"
[[10]],[[ 1  2  4  5  6  7  8 10 13]],[[11 14 15 16 17 18 19 20]],5.66956697647189,"[[15.39602312 26.05830236 24.57800281 27.86347495 20.20976722 26.39687088
  27.89988098 18.87530299 22.91980446 30.43267273  0.          0.
  22.86783018]]",[[ 1  2  3  4  5  6  7  8  9 10 13]],"[[0.50290065 0.56191198 0.34903972 0.6687733  0.39750123 0.53183906
  0.35288035 0.95678701 0.60614277 0.38582197 0.         0.
  0.35596895]]"
