ReschMwToSave,ReschTimeToSave,cTaskToSave,ms,mwtoSave,opTaskToSave,timetoSave
[[ 1 10]],[[ 1  2  3  4  5  6  7  8 10]],[[11 12 13 14 15 16 17 18 19 20]],7.089618761847201,"[[34.18203363 28.85179378 23.86234929 26.49707236 24.80485076 26.71507954
  29.10127709 30.40714113 29.36136549 35.63057398]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.58271607 0.81818948 0.36789974 1.30999061 0.62958974 0.69216233
  0.3885168  1.06257284 0.63524149 0.60273966]]"
[[5 7]],[[ 2  3  4  9 10]],[[ 8 11 12 13 15 16 17 18 19 20]],6.204303142632292,"[[23.51989153 26.32185235 25.86060046 32.51749091 35.16588235 27.66693617
  34.20779479  0.         32.62998099 22.60072971]]",[[ 1  2  3  4  5  6  7  9 10]],"[[0.57951303 0.9145866  0.40624422 1.37884697 0.51017676 0.61903058
  0.34814261 0.         0.82397725 0.62378512]]"
[[2]],[[ 1  3  5 14]],[[ 7  9 11 12 13 15 16 17 18 19 20]],5.9933000000000005,"[[27.33707711 34.27108942 29.57035731 23.036441   25.13811624 33.3263705
   0.          0.          0.         29.60228989  0.          0.
   0.         24.79081801]]",[[ 1  2  3  4  5  6 10 14]],"[[0.60054262 0.72896018 0.45261994 0.90057553 0.56561229 0.55608726
  0.         0.         0.         0.56522909 0.         0.
  0.         1.28507986]]"
[[10]],[[2 4 6 8]],[[11 12 13 14 15 16 17 18 19 20]],6.941344733036944,"[[23.86670196 31.14314071 32.75044865 30.69889672 28.88593263 32.16664172
  32.21426445 32.68525131 32.03680066 36.6776117 ]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.53528115 0.80250319 0.33192435 1.26921342 0.5107124  0.67935609
  0.34480911 1.28275001 0.66292047 0.52187454]]"
[[4 5]],[[ 2  3  5  7  9 10]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[27.7532702  32.43014398 28.74237885 35.12893729 34.99375229 26.34661488
  31.70191105  0.         31.23373747 30.61109006]]",[[ 1  2  3  4  5  6  7  9 10]],"[[0.50223373 0.83646906 0.33933783 0.95969812 0.60182599 0.56253442
  0.3764166  0.         0.82068928 0.64257138]]"
[[5]],[[1 3 5 6 7]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[32.2096722  30.65828901 33.31569931 30.33742959 37.40556936 25.78014949
  24.0869741   0.         24.14546197 23.45387056]]",[[ 1  2  3  4  5  6  7  9 10]],"[[0.66748526 0.68829409 0.35297704 0.95960727 0.68495737 0.61138797
  0.37987255 0.         0.81314631 0.58617903]]"
[[6]],[[2 3 4 6 7 9]],[[11 12 13 14 15 16 17 18 19 20]],6.071025185314177,"[[24.58311304 32.94399506 23.9073004  30.38106606 30.45516328 35.41709717
  29.7728      0.         28.40184542 32.5714671 ]]",[[ 1  2  3  4  5  6  7  9 10]],"[[0.551145   0.74949511 0.36093327 1.28175232 0.60697409 0.6429951
  0.45543005 0.         0.92429316 0.49800709]]"
[],[[ 1  2 10]],[[ 9 11 12 13 14 15 16 17 18 19 20]],6.660000000000001,"[[29.1360347  32.81694128 27.88842316 33.54510111 28.42061213 32.751238
  33.06071146 29.1345812   0.         22.79366435]]",[[ 1  2  3  4  5  6  7  8 10]],"[[0.63531449 0.77338949 0.35791632 0.97499863 0.59652302 0.51553633
  0.30737827 1.27746663 0.         0.51069634]]"
[[2 3 6 7]],[[ 4  5  6  7 10]],[[ 9 11 12 13 15 16 17 18 19 20]],6.016423278626147,"[[28.45187276 34.62771144 33.82615649 28.16093317 25.74028374 34.35610827
  36.73955868 27.41348151  0.         32.56896556]]",[[ 1  2  3  4  5  6  7  8 10]],"[[0.53271447 0.74147357 0.34501057 0.9985269  0.6554303  0.55748035
  0.44791703 1.0955915  0.         0.6422786 ]]"
[[6 8]],[[ 1  2  3  5  6  8 10]],[[ 7  9 11 12 13 15 16 17 18 19 20]],6.040510145219065,"[[31.32039083 24.82128523 25.49794234 28.60432256 33.73058577 34.88375724
   0.         34.34944545  0.         27.27786368]]",[[ 1  2  3  4  5  6  8 10]],"[[0.55966125 0.87787742 0.42809956 0.98362677 0.66549512 0.69746804
  0.         1.15721173 0.         0.67107026]]"
[[ 2  4  7 10 14]],[[1]],[[ 8  9 11 12 13 15 16 17 18 19 20]],6.660000000000001,"[[23.3246122  35.26069011 30.90839291 36.444133   32.95000801 31.24186448
  34.73095817  0.          0.         35.68520857  0.          0.
   0.         37.33367424]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.58351603 0.63001506 0.31858576 0.96814627 0.61966308 0.57379425
  0.33158524 0.         0.         0.57375146 0.         0.
  0.         0.97380411]]"
[[1 3]],[[ 2  3  4  8 10]],[[ 7 11 12 13 14 15 16 17 18 19 20]],6.8386635349621985,"[[36.01278733 31.11991829 35.17767278 33.57960438 31.28980554 26.20101789
   0.         32.49624326 23.7522422  31.88939678]]",[[ 1  2  3  4  5  6  8  9 10]],"[[0.45013059 0.88852395 0.4020542  1.3949751  0.58192002 0.56988085
  0.         1.3006738  0.67598144 0.57452357]]"
[[2 4]],[[ 1  3  5  6  7 10]],[[ 8 11 12 13 15 16 17 18 19 20]],6.493900697829973,"[[24.31289357 35.44066078 29.76444767 35.17283512 25.64107626 30.78437012
  31.94825078  0.          0.         22.97986524  0.          0.
   0.         31.72070129]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.61523614 0.84329278 0.44841384 1.39115161 0.64225727 0.59536162
  0.45467337 0.         0.         0.59502259 0.         0.
  0.         0.90849147]]"
[],[[14]],[[ 7  8 11 12 13 15 16 17 18 19 20]],6.3433,"[[23.13978616 32.02796875 26.72800284 30.57895017 32.92744559 29.9867402
   0.          0.          0.         30.53701584  0.          0.
   0.         29.17774748]]",[[ 1  2  3  4  5  6 10 14]],"[[0.54060287 0.61654169 0.38155684 0.9962552  0.48077094 0.50137354
  0.         0.         0.         0.48662873 0.         0.
  0.         0.99453609]]"
[[2]],[[ 2  3  4  5  6  9 10 14]],[[ 8 11 12 13 15 16 17 18 19 20]],6.55020681347421,"[[25.58963273 36.71899682 23.73106811 24.0856414  24.63061683 24.99690661
   0.          0.         31.81437966 31.10564647  0.          0.
   0.         23.28116835]]",[[ 1  2  3  4  5  6  9 10 14]],"[[0.48098307 0.7634906  0.44212214 1.3369637  0.51757358 0.50211534
  0.         0.         0.78836594 0.61007796 0.         0.
  0.         1.10851448]]"
